id;request_type;start_location;destination;number_of_seats_requested;product;delivery_location;status
1;RIDE;Sausages;Concrete bypassing Tuna;41338;orange;Account;REJECTED
2;RIDE;Managed Plastic;compress interactive;1107;Arkansas Way;Investor Account Crest;REJECTED
3;RIDE;schemas Agent Internal;Table;47643;Kansas stable;Cambridgeshire intuitive bypass;ACCEPTED
4;PRODUCT;Shirt Sweden Steel;up AI;90374;UIC-Franc matrix;open-source redundant Legacy;ACCEPTED
5;PRODUCT;online Marks;Plastic Outdoors invoice;86333;Creative;virtual;ACCEPTED
6;RIDE;synthesizing Principal Jewelery;Computer;81144;Afghanistan;blue architect Belize;REJECTED
7;RIDE;disintermediate North quantifying;Money;41257;Principal monetize calculate;Consultant Unbranded Realigned;REJECTED
8;RIDE;Soap;Passage gold;4976;vortals Connecticut calculate;ROI Quality;ACCEPTED
9;RIDE;parsing SSL;Implementation Personal;49992;relationships sky;Practical;ACCEPTED
10;PRODUCT;redundant Frozen PCI;withdrawal Concrete Dollar;21751;Down-sized;Investor;ACCEPTED
