id;start_location;destination;start_time;can_offer_ride;can_bring_product;number_of_seats_offered;number_of_seats_remaining
1;Architect;Sausages Kina;2022-06-11T09:13:12;false;false;24123;96130
2;architecture array;port Rhode invoice;2022-06-11T22:49:30;true;true;62066;86971
3;olive recontextualize;Cotton Liberian 1080p;2022-06-12T03:10:27;false;true;42999;40109
4;Brunei Executive;Concrete;2022-06-12T08:43:08;true;true;77172;21203
5;sensor;Grass-roots;2022-06-11T09:42:18;true;false;41553;82370
6;Gorgeous Steel parse;target;2022-06-11T11:48:47;true;true;37549;75767
7;Tala Polarised Practical;deliver;2022-06-11T12:36:25;true;false;83003;14738
8;PCI functionalities;Buckinghamshire;2022-06-11T10:09:35;true;true;17624;55647
9;Alabama Summit;Savings generating Unbranded;2022-06-11T20:58:03;true;true;47788;17975
10;circuit;deposit bus;2022-06-12T03:43:25;true;false;43864;15224
