id;trip_id;owner_id;start_location;destination;start_time;can_offer_ride;can_bring_product;number_of_offered_seats
1;24694;97398;Maine Solutions;Principal Gorgeous;2022-06-11T10:53:57;false;false;59919
2;30272;11034;Assurance Customer Prairie;networks Loan olive;2022-06-11T12:27:58;true;true;95459
3;11876;36550;Liberian 1080p;Licensed;2022-06-11T12:10:08;false;true;10064
4;45263;98564;Corporate;Steel;2022-06-11T09:16:33;true;false;10184
5;73395;48941;Ergonomic Loan Grocery;Gorgeous Steel parse;2022-06-11T14:33:20;false;false;76035
6;88675;56883;unleash Tala;Home;2022-06-11T11:49:46;true;true;29608
7;29018;39558;Bike Rubber;navigating d'Ivoire;2022-06-11T02:13:24;false;true;95287
8;80877;17624;front-end grow;Communications;2022-06-11T11:01:36;true;true;2096
9;8170;92563;Cambridgeshire Estate circuit;deposit bus;2022-06-11T16:25:26;true;false;43864
10;15224;6373;Shirt Netherlands synergy;architect Account cross-media;2022-06-11T10:58:54;true;true;79917
